Carlos Eduardo Moraes,7.5,6.1,6.6
João Felipe Pires,6.9,9.9,7.8
Maria Cecília Cavalcanti,9.5,8.0,7.0
Gabriel Monteiro,7.9,5.8,6.6
Maria Fernanda das Neves,8.4,5.7,7.1
Fernando Barbosa,5.5,9.4,7.9
Sabrina Cavalcanti,8.7,7.1,7.2
Bruna Mendes,9.3,6.7,5.4
Eloah Barbosa,6.6,9.4,5.3
Cecília da Luz,9.4,6.8,9.2
Raul Santos,9.1,6.2,7.0
Davi Lucas da Rosa,7.1,9.4,5.7
Leonardo Silveira,8.7,8.3,6.9
Davi Lucca Aragão,6.3,8.2,9.5
Davi da Cunha,8.7,9.1,8.5
Elisa Nascimento,8.8,8.3,6.2
Lara Cardoso,8.5,9.3,6.0
Marcelo Cunha,7.7,8.5,8.5
Ana Júlia Viana,7.3,7.3,9.4
Ana Teixeira,7.7,10.0,7.1
Beatriz Cavalcanti,5.9,6.6,7.7
Davi Luiz Carvalho,6.4,6.2,5.2
Kevin da Cunha,9.0,6.7,7.6
Antônio Dias,5.5,9.3,9.8
Daniela Peixoto,6.7,9.9,5.2
Maria Clara da Cruz,7.6,8.1,7.8
Carolina Cunha,8.0,5.4,7.2
Pedro Lucas Moraes,5.4,9.1,8.3
Augusto da Cunha,9.5,7.5,7.7
Marcos Vinicius Cunha,7.4,5.3,8.8
Kevin Jesus,5.4,7.1,5.2
Francisco Cunha,6.0,5.1,5.7
Kevin Santos,7.7,6.9,7.9
Ana Lívia Souza,6.5,9.3,9.9
Marcela da Mota,8.5,6.9,8.5
Alexandre Nascimento,5.1,8.9,7.2
Camila da Cunha,5.6,7.4,7.1
Milena da Paz,9.9,8.1,6.0
Nina Ribeiro,7.2,9.6,8.1
Melissa Duarte,8.6,8.3,5.1
Maysa Caldeira,7.3,8.5,5.2
Ana Araújo,7.0,5.0,5.8
Ana Júlia Almeida,6.6,6.0,7.3
Catarina da Cruz,6.5,6.1,9.1
Ana Sophia Lopes,5.9,8.5,7.9
Amanda Costa,10.0,5.2,5.7
Heloísa Pinto,8.1,8.4,9.5
Gustavo Costela,6.4,6.4,5.5
Vitor Gabriel da Rocha,5.5,5.0,8.7
Heloísa Porto,7.2,8.8,6.5
Isabel Cardoso,9.9,6.9,6.0
Vicente Costa,8.1,8.3,9.4
Calebe Ferreira,8.1,5.1,6.5
Elisa das Neves,5.5,6.8,9.3
Davi Lucca Carvalho,9.4,6.8,7.5
Henrique Cardoso,7.2,7.6,9.2
Miguel Castro,7.9,6.3,8.8
Kaique Nogueira,8.9,8.7,6.5
Laís Martins,8.3,8.9,7.5
João Cavalcanti,5.3,6.9,9.4
Benjamin das Neves,6.9,7.0,8.6
Heitor Silveira,8.3,7.2,9.5
Emanuel Fogaça,5.4,9.3,8.6
Bruno Melo,9.5,8.0,9.2
Heitor Silva,8.6,8.0,5.6
Caroline Costela,6.9,9.3,7.7
Natália da Rosa,5.8,9.6,5.7
Matheus Campos,9.5,7.2,5.3
João Gabriel Fernandes,6.0,6.1,9.0
Anthony Rodrigues,8.4,6.6,9.7
João Gabriel Gomes,6.2,6.5,9.1
Leandro Oliveira,9.5,7.7,7.7
Thiago Gonçalves,9.0,5.0,7.8
Daniela Moura,6.7,8.1,6.6
Letícia Costela,7.1,7.9,5.9
Lucca Lopes,6.0,5.6,9.6
Luigi Freitas,8.6,5.4,9.0
Yuri Freitas,7.8,6.0,6.3
Benício Teixeira,7.0,9.6,8.8
Alexandre Cunha,8.5,8.2,7.2
Marcelo Barbosa,7.2,9.7,7.9
Marcos Vinicius Caldeira,7.6,6.8,6.4
Isis da Cruz,7.3,7.9,9.7
Lívia Martins,5.7,5.0,8.5
Luiz Felipe Costela,6.5,9.7,8.7
Melissa Nogueira,6.2,6.6,5.2
Daniel Cardoso,7.6,6.1,9.4
Melissa Teixeira,7.7,9.0,9.2
Amanda Carvalho,9.9,6.4,6.4
Benjamin Peixoto,8.8,7.9,5.4
Nina Correia,6.5,7.1,8.3
Kaique Mendes,7.8,6.5,9.7
Thiago Sales,9.1,8.3,6.4
Stephany Gomes,8.6,7.4,9.1
Nicole das Neves,9.6,5.0,6.4
Pedro Miguel Silva,9.2,8.7,6.2
Maria Cecília Gonçalves,6.1,9.5,7.5
Miguel Correia,6.1,6.6,9.0
Caroline Lopes,9.6,10.0,5.2
Maria Vitória Monteiro,5.9,8.4,6.4
Enrico Nunes,8.7,6.4,9.3
Ana Vitória Ribeiro,9.3,9.3,6.3
Pedro da Paz,8.5,7.8,7.9
Daniela Farias,8.1,7.2,9.5
Murilo Peixoto,7.3,8.1,6.3
Ana Clara Martins,5.3,6.4,7.1
Camila da Rocha,6.6,9.7,8.9
Levi Correia,7.7,8.8,8.5
Larissa Gonçalves,8.1,5.6,5.2
Joana Freitas,9.3,6.0,8.8
João Miguel Farias,9.9,5.8,5.8
